Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3313,Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61
4090,Madagascar: Operation Penguin,GBA,2005.0,Action,Activision,0.35,0.13,0.0,0.01,0.48
10109,Invizimals: The Lost Tribes,PSP,2011.0,Action,Sony Computer Entertainment,0.0,0.08,0.0,0.04,0.11
8222,MotoGP 10/11,PS3,2011.0,Racing,Capcom,0.04,0.1,0.0,0.04,0.17
16492,Micro Machines V4,PS2,2006.0,Racing,Codemasters,0.01,0.0,0.0,0.0,0.01
5203,Big Bass World Championship,PS,1997.0,Sports,Starfish,0.2,0.14,0.0,0.02,0.36
15726,Digimon Rumble Arena,PS,2001.0,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02
8405,Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.02,0.17
13711,Men of War: Vietnam,PC,2011.0,Strategy,Unknown,0.0,0.03,0.0,0.01,0.04
15030,Kensei: Sacred Fist,PS,1997.0,Fighting,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
8076,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014.0,Role-Playing,Atlus,0.07,0.03,0.05,0.03,0.18
5348,Charlie and the Chocolate Factory,PS2,2005.0,Adventure,Global Star,0.17,0.13,0.0,0.04,0.35
8673,Angry Birds Star Wars,XOne,2013.0,Strategy,Activision,0.11,0.04,0.0,0.01,0.16
12389,Strike Force Bowling,GC,2005.0,Sports,Crave Entertainment,0.05,0.01,0.0,0.0,0.06
631,Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
738,Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
7819,Spider-Man: Shattered Dimensions,DS,2010.0,Action,Activision,0.17,0.01,0.0,0.01,0.19
12328,Legend of Kay,PS4,2015.0,Action,Nordic Games,0.02,0.03,0.0,0.01,0.06
15093,Bejeweled 2 Deluxe,PC,2006.0,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
5594,Shin Megami Tensei: Devil Survivor 2,DS,2011.0,Role-Playing,Ghostlight,0.17,0.01,0.12,0.01,0.32
8450,Senran Kagura: Estival Versus,PS4,2015.0,Action,Marvelous Interactive,0.07,0.0,0.08,0.02,0.17
13023,Microsoft Flight Simulator X Acceleration Expansion Pack,PC,2007.0,Simulation,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05
12496,Neon Genesis Evangelion,N64,1999.0,Adventure,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
15638,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008.0,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
2013,WipEout Pure,PSP,2005.0,Racing,Sony Computer Entertainment,0.47,0.34,0.0,0.22,1.04
686,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
3238,Nobunaga no Yabou: Haouden,SNES,1993.0,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
4687,pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41
339,Friend Collection,DS,2009.0,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
455,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,3.07
8950,Arena Football,XB,2006.0,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.15
4377,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012.0,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.45
3655,TMNT,X360,2007.0,Action,Ubisoft,0.47,0.04,0.0,0.04,0.55
4381,Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45
7653,BioShock The Collection,PS4,2016.0,Shooter,Take-Two Interactive,0.05,0.11,0.01,0.03,0.2
2230,Sonic Riders: Zero Gravity,Wii,2008.0,Racing,Sega,0.5,0.32,0.02,0.1,0.93
14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994.0,Action,Banpresto,0.0,0.0,0.03,0.0,0.03
13498,Nobunaga's Ambition (3DS),3DS,2013.0,Simulation,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
1026,Destiny,PS3,2014.0,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
10202,Naval Ops: Warship Gunner,PS2,2003.0,Simulation,Tecmo Koei,0.05,0.04,0.0,0.01,0.11
12866,Learn Science,DS,2010.0,Misc,DreamCatcher Interactive,0.05,0.0,0.0,0.0,0.05
1955,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06
4503,SSX Tricky,XB,2001.0,Sports,Electronic Arts,0.32,0.09,0.0,0.02,0.43
672,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36
2446,Overwatch,XOne,2016.0,Shooter,Activision,0.52,0.25,0.0,0.08,0.85
6495,Lumines: Electronic Symphony,PSV,2012.0,Misc,Ubisoft,0.11,0.1,0.01,0.05,0.26
13127,Dead in the Water,PS,1999.0,Action,ASC Games,0.03,0.02,0.0,0.0,0.05
11585,Sub Rebellion,PS2,2002.0,Simulation,Metro 3D,0.04,0.03,0.0,0.01,0.08
1686,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
16314,Space Hulk,PSV,2015.0,Strategy,Funbox Media,0.0,0.01,0.0,0.0,0.01
6321,LEGO Harry Potter: Years 5-7,PSP,,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0.0,0.06,0.27
3072,Rocksmith 2014,PC,2013.0,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66
3004,.hack//Mutation Part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016.0,Action,Sony Computer Entertainment,0.0,0.16,0.0,0.03,0.19
7231,Age of Empires: Mythologies,DS,2008.0,Strategy,THQ,0.17,0.03,0.0,0.02,0.22
14234,EverBlue 2,PS2,2002.0,Adventure,Capcom,0.02,0.01,0.0,0.0,0.03
11281,Marvel Nemesis: Rise of the Imperfects,DS,2005.0,Fighting,Electronic Arts,0.08,0.0,0.0,0.01,0.08
15439,Painkiller: Hell & Damnation,X360,2013.0,Shooter,Nordic Games,0.0,0.01,0.0,0.0,0.02
3083,New Play Control! Pikmin,Wii,2008.0,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
6326,Over the Hedge,GBA,2006.0,Platform,Activision,0.19,0.07,0.0,0.0,0.27
4196,Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47
9326,Legends of Wrestling,XB,2002.0,Fighting,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.14
9992,F1 2002,PS2,2002.0,Racing,Electronic Arts,0.05,0.04,0.02,0.01,0.12
10096,GoldenEye: Rogue Agent,DS,2005.0,Shooter,Electronic Arts,0.1,0.0,0.0,0.01,0.11
6908,Dora the Explorer: Super Star Adventures,GBA,2004.0,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.24
11522,MXGP 2,PS4,2016.0,Racing,Milestone S.r.l.,0.02,0.05,0.0,0.01,0.08
4263,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.04,0.16,0.24,0.01,0.46
16185,Princess Arthur,PSP,2013.0,Misc,Idea Factory,0.0,0.0,0.01,0.0,0.01
14963,LEGO Harry Potter: Years 1-4,PC,2010.0,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.0,0.0,0.02
8165,College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18
15356,Demolition Company: Gold Edition,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02
12013,Ghost in the Shell: Stand Alone Complex,PSP,2005.0,Adventure,Atari,0.06,0.0,0.0,0.01,0.07
7063,Puss in Boots,X360,2011.0,Action,THQ,0.2,0.02,0.0,0.02,0.23
10332,Kirarin * Revolution: Kira Kira Idol Audition,DS,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
6086,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006.0,Role-Playing,Square Enix,0.0,0.0,0.29,0.0,0.29
15860,Kadenz fermata//Akkord:fortissimo,PSV,2014.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14297,Custom Beat Battle: Draglade 2,DS,2008.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7
7669,Gladius,PS2,2003.0,Strategy,Activision,0.1,0.08,0.0,0.03,0.2
1127,Pikmin,GC,2001.0,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
10013,Karaoke Revolution Presents American Idol Encore 2,PS3,2008.0,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.11
16368,Survivor,Wii,2010.0,Adventure,Valcon Games,0.01,0.0,0.0,0.0,0.01
5082,Quake 4,X360,2005.0,Shooter,Activision,0.32,0.03,0.0,0.03,0.38
493,Super Mario World 2: Yoshi's Island,GBA,2002.0,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
6820,Spider-Man: Shattered Dimensions,Wii,2010.0,Action,Activision,0.13,0.09,0.0,0.02,0.24
5334,Farming Simulator 2015,PS4,2015.0,Simulation,Koch Media,0.1,0.2,0.0,0.05,0.35
5641,Frogger's Adventures: The Rescue,PS2,2003.0,Platform,Konami Digital Entertainment,0.16,0.12,0.0,0.04,0.32
13087,Apassionata: Die Galanacht der Pferde,DS,2009.0,Simulation,RTL,0.0,0.04,0.0,0.01,0.05
14294,Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015.0,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03
9237,PaRappa The Rapper,PSP,2006.0,Misc,Sony Computer Entertainment,0.1,0.0,0.02,0.01,0.14
2366,Buzz! The Mega Quiz,PS2,2007.0,Misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88
12502,NBA Hangtime,PS,1996.0,Sports,Midway Games,0.03,0.02,0.0,0.0,0.06
421,007: Tomorrow Never Dies,PS,1999.0,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21
16099,Miyako: Awayuki no Utage,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01
16265,"Hanayaka Kana, Ware ga Ichizoku",PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01
9458,Naruto Shippuden: Kizuna Drive,PSP,2010.0,Action,Namco Bandai Games,0.04,0.02,0.05,0.02,0.13
10786,Ar tonelico: Melody of Elemia,PS2,2006.0,Role-Playing,505 Games,0.0,0.0,0.1,0.0,0.1
13475,Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
2776,LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
12734,The Lord of the Rings: The Battle for Middle-Earth II,X360,2006.0,Strategy,Electronic Arts,0.0,0.05,0.0,0.01,0.06
16208,Caladrius,X360,2013.0,Shooter,Moss,0.0,0.0,0.01,0.0,0.01
7727,Big Mutha Truckers 2,PS2,2005.0,Racing,Xplosiv,0.1,0.07,0.0,0.03,0.2
7738,Iron Chef America: Supreme Cuisine,DS,2008.0,Simulation,Destineer,0.18,0.0,0.0,0.01,0.19
9240,Pro Yakyuu Netsu Star 2006,PS2,2006.0,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
396,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2508,Tony Hawk's Underground 2 Remix,PSP,2005.0,Sports,Activision,0.46,0.21,0.0,0.15,0.82
6298,Beamrider,2600,1984.0,Racing,Activision,0.26,0.01,0.0,0.0,0.27
8781,Heroes of Mana,DS,2007.0,Strategy,Square Enix,0.08,0.01,0.05,0.01,0.15
15437,Horrid Henry: Missions of Mischief,Wii,2010.0,Adventure,SouthPeak Games,0.0,0.02,0.0,0.0,0.02
5315,The Fairly Odd Parents: Shadow Showdown,PS2,2004.0,Platform,THQ,0.17,0.13,0.0,0.04,0.35
12927,ZombiU,PS4,2016.0,Action,Ubisoft,0.0,0.04,0.01,0.01,0.05
11615,Bleach: Heat the Soul 7,PSP,2010.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08
15788,Colin McRae Rally 2005,PC,2004.0,Racing,Codemasters,0.0,0.01,0.0,0.0,0.02
241,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
815,Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06
4629,Green Day: Rock Band,PS3,2010.0,Misc,MTV Games,0.19,0.16,0.0,0.07,0.42
2954,MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.69
15759,Turbo: Super Stunt Squad,Wii,2013.0,Sports,D3Publisher,0.0,0.02,0.0,0.0,0.02
12163,The Book of Unwritten Tales 2,PS4,2015.0,Adventure,Nordic Games,0.0,0.06,0.0,0.01,0.07
9993,Hasbro Family Game Night Fun Pack,Wii,2011.0,Misc,Electronic Arts,0.11,0.0,0.0,0.01,0.12
4611,Star Wars Trilogy: Apprentice of the Force,GBA,2004.0,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42
13855,Klonoa Heroes: Densetsu no Star Medal,GBA,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
14975,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
3063,Finding Nemo,XB,2003.0,Action,THQ,0.48,0.16,0.0,0.02,0.66
15616,Toukiden 2,PS3,2016.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
15767,Soul Eater: Monotone Princess,Wii,2008.0,Action,Square Enix,0.0,0.0,0.02,0.0,0.02
7142,Def Jam: Fight for NY,GC,2004.0,Fighting,Electronic Arts,0.17,0.05,0.0,0.01,0.22
14066,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,2010.0,Adventure,Yeti,0.0,0.0,0.04,0.0,0.04
684,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.57,0.56,0.0,0.19,2.32
15176,Happiness! De-Lucks,PS2,2007.0,Adventure,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
13578,Kanuchi: Shiroki Tsubasa no Shou,PS2,2008.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
14654,Nisenochigiri: Omoide no Saki e,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
11363,Ride,PS3,2015.0,Racing,Milestone S.r.l.,0.0,0.06,0.01,0.01,0.08
14221,First Queen: Ornic Senki,SNES,1994.0,Role-Playing,Culture Brain,0.0,0.0,0.03,0.0,0.03
10810,Natural Doctrine,PS4,2014.0,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01,0.1
6684,Mortal Kombat: Armageddon,Wii,2007.0,Fighting,Midway Games,0.21,0.02,0.0,0.02,0.25
411,Destiny,XOne,2014.0,Shooter,Activision,2.13,0.92,0.0,0.23,3.28
7520,My Fitness Coach 2: Exercise and Nutrition,Wii,2009.0,Sports,Black Bean Games,0.14,0.04,0.0,0.02,0.2
12913,NFL Blitz Pro,XB,2003.0,Sports,Midway Games,0.04,0.01,0.0,0.0,0.05
11004,Damnation,PS3,2009.0,Shooter,Codemasters,0.07,0.01,0.0,0.01,0.09
12687,Minna no Sukkiri,PSP,2009.0,Sports,Sony Computer Entertainment,0.0,0.0,0.06,0.0,0.06
7957,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009.0,Action,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
